areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-10-11,0_to_4,0.4,7
E92000001,England,nation,2021-10-11,5_to_9,0.4,7
E92000001,England,nation,2021-10-11,10_to_14,0.5,9
E92000001,England,nation,2021-10-11,15_to_19,1.1,16
E92000001,England,nation,2021-10-11,20_to_24,2.0,33
E92000001,England,nation,2021-10-11,25_to_29,3.6,66
E92000001,England,nation,2021-10-11,30_to_34,6.0,115
E92000001,England,nation,2021-10-11,35_to_39,10.3,195
E92000001,England,nation,2021-10-11,40_to_44,15.3,267
E92000001,England,nation,2021-10-11,45_to_49,27.8,511
E92000001,England,nation,2021-10-11,50_to_54,44.2,869
E92000001,England,nation,2021-10-11,55_to_59,70.8,1351
E92000001,England,nation,2021-10-11,60_to_64,91.3,1487
E92000001,England,nation,2021-10-11,65_to_69,226.0,3247
E92000001,England,nation,2021-10-11,70_to_74,304.1,4471
E92000001,England,nation,2021-10-11,75_to_79,596.6,6419
E92000001,England,nation,2021-10-11,80_to_84,1138.9,9216
E92000001,England,nation,2021-10-11,85_to_89,2089.5,11057
E92000001,England,nation,2021-10-11,90+,4117.0,14472
