areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-10-11,10_to_14,15803.6,278439
E92000001,England,nation,2021-10-11,55_to_59,10225.9,189445
E92000001,England,nation,2021-10-11,75_to_79,5869.7,54827
E92000001,England,nation,2021-10-11,15_to_19,18663.3,298884
E92000001,England,nation,2021-10-11,65_to_69,6595.2,88884
E92000001,England,nation,2021-10-11,60_to_64,8783.5,137769
E92000001,England,nation,2021-10-11,20_to_24,18233.7,326694
E92000001,England,nation,2021-10-11,35_to_39,13673.6,253367
E92000001,England,nation,2021-10-11,30_to_34,15025.9,287959
E92000001,England,nation,2021-10-11,40_to_44,13693.5,236935
E92000001,England,nation,2021-10-11,0_to_4,4625.4,76888
E92000001,England,nation,2021-10-11,5_to_9,8080.0,146600
E92000001,England,nation,2021-10-11,25_to_29,16233.3,312397
E92000001,England,nation,2021-10-11,45_to_49,12449.2,224485
E92000001,England,nation,2021-10-11,50_to_54,11539.3,220552
E92000001,England,nation,2021-10-11,85_to_89,9563.7,34064
E92000001,England,nation,2021-10-11,90+,13583.2,23030
E92000001,England,nation,2021-10-11,80_to_84,6972.6,44626
E92000001,England,nation,2021-10-11,70_to_74,5441.4,73128
E92000001,England,nation,2021-10-10,75_to_79,5859.6,54733
E92000001,England,nation,2021-10-10,30_to_34,15015.1,287752
E92000001,England,nation,2021-10-10,60_to_64,8772.4,137594
E92000001,England,nation,2021-10-10,80_to_84,6967.9,44596
E92000001,England,nation,2021-10-10,65_to_69,6586.0,88760
E92000001,England,nation,2021-10-10,45_to_49,12430.5,224148
E92000001,England,nation,2021-10-10,5_to_9,8056.6,146176
E92000001,England,nation,2021-10-10,25_to_29,16224.6,312229
E92000001,England,nation,2021-10-10,50_to_54,11523.5,220250
E92000001,England,nation,2021-10-10,40_to_44,13673.5,236588
E92000001,England,nation,2021-10-10,90+,13580.8,23026
E92000001,England,nation,2021-10-10,85_to_89,9558.3,34045
E92000001,England,nation,2021-10-10,0_to_4,4620.2,76802
E92000001,England,nation,2021-10-10,10_to_14,15694.8,276522
E92000001,England,nation,2021-10-10,15_to_19,18623.5,298247
E92000001,England,nation,2021-10-10,70_to_74,5434.2,73032
E92000001,England,nation,2021-10-10,35_to_39,13661.4,253142
E92000001,England,nation,2021-10-10,20_to_24,18226.7,326568
