areaCode,areaName,areaType,date,cumAdmissions,cumCasesByPublishDate,cumCasesByPublishDateRate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
E92000001,England,nation,2021-10-12,,7000356,12379.0,,
E92000001,England,nation,2021-10-11,,6967915,12321.7,120552,213.2
E92000001,England,nation,2021-10-10,473270,6936327,12265.8,120531,213.1
E92000001,England,nation,2021-10-09,472664,6906211,12212.5,120493,213.1
E92000001,England,nation,2021-10-08,472051,6876192,12159.5,120443,213.0
E92000001,England,nation,2021-10-07,471432,6845186,12104.6,120381,212.9
E92000001,England,nation,2021-10-06,470798,6812848,12047.4,120305,212.7
E92000001,England,nation,2021-10-05,470166,6780567,11990.4,120238,212.6
E92000001,England,nation,2021-10-04,469508,6752536,11940.8,120163,212.5
E92000001,England,nation,2021-10-03,468881,6725105,11892.3,120086,212.4
E92000001,England,nation,2021-10-02,468304,6700702,11849.1,120014,212.2
E92000001,England,nation,2021-10-01,467755,6674820,11803.4,119944,212.1
E92000001,England,nation,2021-09-30,467235,6646963,11754.1,119852,211.9
E92000001,England,nation,2021-09-29,466683,6617892,11702.7,119773,211.8
E92000001,England,nation,2021-09-28,466058,6590514,11654.3,119693,211.7
E92000001,England,nation,2021-09-27,465462,6561706,11603.3,119616,211.5
E92000001,England,nation,2021-09-26,464845,6532847,11552.3,119539,211.4
E92000001,England,nation,2021-09-25,464310,6507849,11508.1,119472,211.3
E92000001,England,nation,2021-09-24,463790,6481363,11461.3,119381,211.1
E92000001,England,nation,2021-09-23,463233,6453164,11411.4,119290,210.9
E92000001,England,nation,2021-09-22,462656,6425056,11361.7,119188,210.8
E92000001,England,nation,2021-09-21,462084,6398633,11315.0,119090,210.6
E92000001,England,nation,2021-09-20,461482,6374123,11271.6,118997,210.4
E92000001,England,nation,2021-09-19,460876,6347616,11224.8,118896,210.2
E92000001,England,nation,2021-09-18,460304,6326046,11186.6,118806,210.1
E92000001,England,nation,2021-09-17,459744,6303792,11147.3,118714,209.9
E92000001,England,nation,2021-09-16,459204,6281236,11107.4,118592,209.7
E92000001,England,nation,2021-09-15,458532,6258872,11067.8,118479,209.5
E92000001,England,nation,2021-09-14,457841,6237505,11030.0,118378,209.3
E92000001,England,nation,2021-09-13,457140,6218198,10995.9,118260,209.1
E92000001,England,nation,2021-09-12,456452,6197654,10959.6,118188,209.0
E92000001,England,nation,2021-09-11,455794,6178293,10925.3,118086,208.8
E92000001,England,nation,2021-09-10,455145,6155149,10884.4,117983,208.6
E92000001,England,nation,2021-09-09,454465,6129372,10838.8,117875,208.4
E92000001,England,nation,2021-09-08,453675,6102850,10791.9,117747,208.2
E92000001,England,nation,2021-09-07,452775,6074040,10741.0,117634,208.0
E92000001,England,nation,2021-09-06,451974,6046799,10692.8,117510,207.8
E92000001,England,nation,2021-09-05,451143,6019976,10645.4,117390,207.6
E92000001,England,nation,2021-09-04,450452,5993444,10598.5,117276,207.4
E92000001,England,nation,2021-09-03,449700,5964760,10547.7,117166,207.2
E92000001,England,nation,2021-09-02,449012,5933034,10491.6,117041,207.0
E92000001,England,nation,2021-09-01,448224,5904664,10441.5,116942,206.8
E92000001,England,nation,2021-08-31,447389,5880134,10398.1,116848,206.6
E92000001,England,nation,2021-08-30,446591,5859405,10361.4,116754,206.5
E92000001,England,nation,2021-08-29,445783,5838323,10324.2,116664,206.3
E92000001,England,nation,2021-08-28,445082,5816071,10284.8,116558,206.1
E92000001,England,nation,2021-08-27,444394,5791272,10241.0,116457,205.9
E92000001,England,nation,2021-08-26,443645,5764066,10192.8,116351,205.7
E92000001,England,nation,2021-08-25,442868,5734967,10141.4,116247,205.6
E92000001,England,nation,2021-08-24,442025,5707906,10093.5,116160,205.4
E92000001,England,nation,2021-08-23,441207,5684645,10052.4,116057,205.2
E92000001,England,nation,2021-08-22,440376,5660725,10010.1,115962,205.1
E92000001,England,nation,2021-08-21,439650,5635046,9964.7,115861,204.9
E92000001,England,nation,2021-08-20,438893,5608339,9917.5,115774,204.7
E92000001,England,nation,2021-08-19,438160,5579087,9865.7,115673,204.5
E92000001,England,nation,2021-08-18,437336,5549621,9813.6,115582,204.4
E92000001,England,nation,2021-08-17,436541,5521231,9763.4,115504,204.3
E92000001,England,nation,2021-08-16,435709,5498742,9723.7,115410,204.1
E92000001,England,nation,2021-08-15,434933,5475833,9683.1,115339,204.0
E92000001,England,nation,2021-08-14,434214,5453294,9643.3,115268,203.8
E92000001,England,nation,2021-08-13,433525,5426971,9596.7,115189,203.7
E92000001,England,nation,2021-08-12,432831,5398629,9546.6,115102,203.5
E92000001,England,nation,2021-08-11,432073,5370904,9497.6,115011,203.4
E92000001,England,nation,2021-08-10,431326,5344609,9451.1,114932,203.2
E92000001,England,nation,2021-08-09,430566,5324191,9415.0,114863,203.1
E92000001,England,nation,2021-08-08,429901,5302555,9376.7,114795,203.0
E92000001,England,nation,2021-08-07,429250,5278675,9334.5,114730,202.9
E92000001,England,nation,2021-08-06,428620,5253181,9289.4,114645,202.7
E92000001,England,nation,2021-08-05,427963,5225224,9240.0,114566,202.6
E92000001,England,nation,2021-08-04,427270,5199102,9193.8,114479,202.4
E92000001,England,nation,2021-08-03,426523,5173082,9147.8,114409,202.3
E92000001,England,nation,2021-08-02,425843,5154292,9114.6,114343,202.2
E92000001,England,nation,2021-08-01,425157,5135378,9081.1,114277,202.1
E92000001,England,nation,2021-07-31,424512,5114064,9043.4,114204,202.0
E92000001,England,nation,2021-07-30,423919,5090505,9001.8,114128,201.8
E92000001,England,nation,2021-07-29,423269,5064671,8956.1,114035,201.7
E92000001,England,nation,2021-07-28,422511,5037630,8908.3,113971,201.5
E92000001,England,nation,2021-07-27,421783,5013664,8865.9,113901,201.4
E92000001,England,nation,2021-07-26,420967,4993657,8830.5,113841,201.3
E92000001,England,nation,2021-07-25,420137,4972040,8792.3,113776,201.2
E92000001,England,nation,2021-07-24,419301,4947127,8748.2,113713,201.1
E92000001,England,nation,2021-07-23,418567,4918669,8697.9,113650,201.0
E92000001,England,nation,2021-07-22,417842,4886612,8641.2,113580,200.8
E92000001,England,nation,2021-07-21,417015,4851264,8578.7,113516,200.7
E92000001,England,nation,2021-07-20,416232,4812460,8510.1,113472,200.7
E92000001,England,nation,2021-07-19,415427,4769632,8434.3,113423,200.6
E92000001,England,nation,2021-07-18,414675,4735387,8373.8,113352,200.4
E92000001,England,nation,2021-07-17,413977,4691172,8295.6,113296,200.3
E92000001,England,nation,2021-07-16,413355,4640922,8206.7,113252,200.3
E92000001,England,nation,2021-07-15,412762,4594159,8124.0,113213,200.2
E92000001,England,nation,2021-07-14,412104,4550298,8046.5,113169,200.1
E92000001,England,nation,2021-07-13,411468,4512957,7980.5,113137,200.1
E92000001,England,nation,2021-07-12,410847,4480518,7923.1,113099,200.0
E92000001,England,nation,2021-07-11,410237,4450372,7869.8,113067,199.9
E92000001,England,nation,2021-07-10,409735,4422370,7820.3,113042,199.9
E92000001,England,nation,2021-07-09,409293,4393205,7768.7,113010,199.8
E92000001,England,nation,2021-07-08,408842,4362481,7714.4,112972,199.8
E92000001,England,nation,2021-07-07,408354,4334634,7665.1,112946,199.7
E92000001,England,nation,2021-07-06,407893,4307618,7617.3,112923,199.7
E92000001,England,nation,2021-07-05,407435,4282762,7573.4,112904,199.7
E92000001,England,nation,2021-07-04,407019,4259710,7532.6,112881,199.6
E92000001,England,nation,2021-07-03,406629,4239686,7497.2,112859,199.6
E92000001,England,nation,2021-07-02,406306,4218807,7460.3,112836,199.5
E92000001,England,nation,2021-07-01,405999,4196833,7421.4,112812,199.5
E92000001,England,nation,2021-06-30,405704,4174318,7381.6,112794,199.5
E92000001,England,nation,2021-06-29,405373,4153487,7344.8,112774,199.4
E92000001,England,nation,2021-06-28,405090,4136940,7315.5,112755,199.4
E92000001,England,nation,2021-06-27,404846,4118462,7282.9,112746,199.4
E92000001,England,nation,2021-06-26,404620,4107155,7262.9,112729,199.3
E92000001,England,nation,2021-06-25,404397,4092346,7236.7,112720,199.3
E92000001,England,nation,2021-06-24,404191,4079362,7213.7,112701,199.3
E92000001,England,nation,2021-06-23,403997,4066294,7190.6,112682,199.3
E92000001,England,nation,2021-06-22,403783,4053782,7168.5,112677,199.3
E92000001,England,nation,2021-06-21,403601,4044830,7152.6,112668,199.2
E92000001,England,nation,2021-06-20,403420,4036230,7137.4,112655,199.2
E92000001,England,nation,2021-06-19,403249,4028664,7124.1,112635,199.2
E92000001,England,nation,2021-06-18,403071,4019956,7108.7,112617,199.1
E92000001,England,nation,2021-06-17,402886,4010977,7092.8,112607,199.1
E92000001,England,nation,2021-06-16,402684,4001803,7076.6,112602,199.1
E92000001,England,nation,2021-06-15,402507,3994408,7063.5,112592,199.1
E92000001,England,nation,2021-06-14,402319,3988008,7052.2,112579,199.1
E92000001,England,nation,2021-06-13,402134,3981497,7040.6,112571,199.1
E92000001,England,nation,2021-06-12,401947,3975399,7029.9,112564,199.1
E92000001,England,nation,2021-06-11,401810,3968986,7018.5,112551,199.0
E92000001,England,nation,2021-06-10,401666,3962371,7006.8,112545,199.0
E92000001,England,nation,2021-06-09,401504,3956096,6995.7,112536,199.0
